"danhmuc_id","ten_san_pham","gia","so_luong_ton","anh"
"3","MacBook Air 13-inch M1","23990000","7","img/Mac/macbook-air-13-m1.jpg"
"3","MacBook Pro 13-inch M1","27990000","6","img/Mac/macbook-pro-13-m1.jpg"
"3","Mac Studio M2 Max","56990000","3","img/Mac/mac-studio-m2-max.jpg"
"3","Mac Studio M2 Ultra","69990000","2","img/Mac/mac-studio-m2-ultra.jpg"
"3","Mac Mini M2","16990000","8","img/Mac/mac-mini-m2.jpg"
"3","Mac Mini M2 Pro","21990000","7","img/Mac/mac-mini-m2-pro.jpg"
"3","MacBook Pro 14-inch M3 Pro","45990000","3","img/Mac/macbook-pro-14-m3-pro.jpg"
"3","MacBook Pro 16-inch M3 Max","61990000","2","img/Mac/macbook-pro-16-m3-max.jpg"
"3","iMac 24-inch M3","35990000","5","img/Mac/imac-24-m3.jpg"
"3","MacBook Air 13-inch M2 512GB","29990000","6","img/Mac/macbook-air-13-m2-512gb.jpg"
"3","MacBook Pro 14-inch M2 Pro","42990000","4","img/Mac/macbook-pro-14-m2-pro.jpg"
"3","MacBook Pro 16-inch M2 Max","57990000","3","img/Mac/macbook-pro-16-m2-max.jpg"
"3","Mac Mini M1","14990000","9","img/Mac/mac-mini-m1.jpg"
"4","Apple Watch Series 10 42mm","10990000","7","img/Watch/apple-watch-series-10-42mm.jpg"
"4","Apple Watch Series 10 46mm","11990000","6","img/Watch/apple-watch-series-10-46mm.jpg"
"4","Apple Watch Ultra 2","19990000","4","img/Watch/apple-watch-ultra-2.jpg"
"4","Apple Watch Series 9 41mm","9990000","8","img/Watch/apple-watch-series-9-41mm.jpg"
"4","Apple Watch Series 9 45mm","10990000","7","img/Watch/apple-watch-series-9-45mm.jpg"
"4","Apple Watch SE 2023 40mm","6490000","10","img/Watch/apple-watch-se-2023-40mm.jpg"
"4","Apple Watch SE 2023 44mm","6990000","9","img/Watch/apple-watch-se-2023-44mm.jpg"
"4","Apple Watch Series 8 41mm","8990000","8","img/Watch/apple-watch-series-8-41mm.jpg"
"4","Apple Watch Series 8 45mm","9990000","7","img/Watch/apple-watch-series-8-45mm.jpg"
"4","Apple Watch Ultra 1","17990000","5","img/Watch/apple-watch-ultra-1.jpg"
"4","Apple Watch Series 7 41mm","7990000","10","img/Watch/apple-watch-series-7-41mm.jpg"
"4","Apple Watch Series 7 45mm","8490000","9","img/Watch/apple-watch-series-7-45mm.jpg"
"4","Apple Watch SE 2022 40mm","5990000","12","img/Watch/apple-watch-se-2022-40mm.jpg"
"4","Apple Watch SE 2022 44mm","6490000","11","img/Watch/apple-watch-se-2022-44mm.jpg"
"4","Apple Watch Series 6 40mm","6990000","10","img/Watch/apple-watch-series-6-40mm.jpg"
"4","Apple Watch Series 6 44mm","7490000","9","img/Watch/apple-watch-series-6-44mm.jpg"
"4","Apple Watch Series 5 40mm","5990000","12","img/Watch/apple-watch-series-5-40mm.jpg"
"4","Apple Watch Series 5 44mm","6490000","11","img/Watch/apple-watch-series-5-44mm.jpg"
"4","Apple Watch Series 4 40mm","5490000","13","img/Watch/apple-watch-series-4-40mm.jpg"
"4","Apple Watch Series 4 44mm","5990000","12","img/Watch/apple-watch-series-4-44mm.jpg"
